date,symbol,dt_last_refreshed,timezone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,volatility_ratio,intraday_volatility_pct,volume_change_pct,moving_avg_7d,moving_avg_30d
2020-11-06,VXX,2026-05-08,US/Eastern,25.33,26.3,20.51,20.52,224808838,-4.81,-18.99,-22.65,-79.0,5.79,0.28,22.86,-9.79,23.59,30.1
2020-11-13,VXX,2026-05-08,US/Eastern,19.08,20.75,18.22,19.08,231663342,0.0,0.0,-7.02,-80.47,2.53,0.13,13.26,3.05,22.66,29.43
2020-11-20,VXX,2026-05-08,US/Eastern,18.61,19.3,17.92,18.6,159118477,-0.01,-0.05,-2.52,-80.96,1.38,0.07,7.42,-31.31,21.64,28.67
2020-11-27,VXX,2026-05-08,US/Eastern,18.35,18.73,17.1,17.51,107652182,-0.84,-4.58,-5.86,-82.08,1.62,0.09,8.86,-32.34,20.95,27.88
2020-12-04,VXX,2026-05-08,US/Eastern,17.57,18.17,16.89,17.11,165916159,-0.46,-2.62,-2.28,-82.49,1.28,0.07,7.29,54.12,20.22,27.28
2020-12-11,VXX,2026-05-08,US/Eastern,17.29,18.48,16.28,18.0,229287940,0.71,4.11,5.2,-81.58,2.2,0.12,12.72,38.2,19.62,26.66
2020-12-18,VXX,2026-05-08,US/Eastern,17.42,18.48,16.62,17.08,214569610,-0.34,-1.95,-5.11,-82.52,1.86,0.11,10.68,-6.42,18.27,26.09
2020-12-24,VXX,2026-05-08,US/Eastern,18.78,19.47,16.88,16.88,172741986,-1.9,-10.12,-1.17,-82.72,2.59,0.15,13.82,-19.49,17.75,25.55
2020-12-31,VXX,2026-05-08,US/Eastern,16.63,17.76,16.46,16.79,113267736,0.16,0.96,-0.53,-82.81,1.3,0.08,7.82,-34.43,17.42,25.13
2021-01-08,VXX,2026-05-08,US/Eastern,16.77,18.8,16.23,16.35,275125906,-0.42,-2.5,-2.62,-83.27,2.57,0.16,15.32,142.9,17.1,24.39
2021-01-15,VXX,2026-05-08,US/Eastern,16.95,17.5,16.14,17.11,199488563,0.16,0.94,4.65,-82.49,1.36,0.08,8.02,-27.49,17.05,23.73
2021-01-22,VXX,2026-05-08,US/Eastern,16.69,16.93,16.15,16.4,164009350,-0.29,-1.74,-4.15,-83.21,0.78,0.05,4.67,-17.79,16.94,23.03
2021-01-29,VXX,2026-05-08,US/Eastern,16.55,21.76,16.05,21.08,446969233,4.53,27.37,28.54,-78.42,5.71,0.27,34.5,172.53,17.38,22.65
2021-02-05,VXX,2026-05-08,US/Eastern,20.09,21.29,16.41,16.47,209831349,-3.62,-18.02,-21.87,-83.14,4.88,0.3,24.29,-53.05,17.3,22.13
2021-02-12,VXX,2026-05-08,US/Eastern,16.38,17.15,15.71,15.74,225280176,-0.64,-3.91,-4.43,-83.89,1.44,0.09,8.79,7.36,17.13,21.63
2021-02-19,VXX,2026-05-08,US/Eastern,15.81,16.43,14.92,15.1,225649838,-0.71,-4.49,-4.07,-84.54,1.51,0.1,9.55,0.16,16.89,21.13
2021-02-26,VXX,2026-05-08,US/Eastern,15.6,17.29,14.44,16.03,483473868,0.43,2.76,6.16,-83.59,2.85,0.18,18.27,114.26,16.85,20.71
2021-03-05,VXX,2026-05-08,US/Eastern,15.08,16.96,14.65,15.12,432215899,0.04,0.27,-5.68,-84.52,2.31,0.15,15.32,-10.6,16.56,20.33
2021-03-12,VXX,2026-05-08,US/Eastern,15.15,15.52,13.95,13.95,258644174,-1.2,-7.92,-7.74,-85.72,1.57,0.11,10.36,-40.16,16.21,19.95
2021-03-19,VXX,2026-05-08,US/Eastern,13.91,14.02,12.57,12.77,287383417,-1.14,-8.2,-8.46,-86.93,1.45,0.11,10.39,11.11,15.03,19.56
