country_unep,household_year,household_region,household_kg_per_capita_year,household_tonnes_year,household_confidence,food_service_year,food_service_kg_per_capita_year,food_service_tonnes_year,food_service_confidence,retail_year,retail_kg_per_capita_year,retail_tonnes_year,retail_confidence,average_temperature,temperature_year,temperature_unit,income_year,income_region,income_group,income_lending_category,gdp_per_capita_year,gdp_per_capita,population_density_year,population_density,tourism_arrivals_year,tourism_arrivals,access_to_electricity_year,access_to_electricity,total_population_year,total_population,total_food_waste_kg_per_capita_year,total_food_waste_tonnes_year,household_share_pct,food_service_share_pct,retail_share_pct,main_contributing_sector,tourists_per_resident,income_rank,population_size_category,temperature_band,gdp_per_capita_category,coverage_score,sector_share_total
Guyana,2024,Latin America and the Caribbean,88,71298.0,Low Confidence,2024,42,34417.0,Very Low Confidence,2024,15,12197.0,Very Low Confidence,26.64,2024,Celsius,2024,Latin America & Caribbean,High Income,IDA,2024,29675.2443873316,2023,3.91376811594203,2020,86400.0015258789,2023,98.9,2024,831087.0,145,117912.0,60.47,29.19,10.34,Household,0.1,4,Very Small (<1M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0
Haiti,2024,Latin America and the Caribbean,90,1044831.0,Low Confidence,2024,48,553603.0,Very Low Confidence,2024,13,154410.0,Very Low Confidence,25.59,2024,Celsius,2024,Latin America & Caribbean,Lower Middle Income,IDA,2024,2142.62330526788,2023,422.256821480406,2019,938000.0,2023,51.3,2024,11772557.0,151,1752844.0,59.61,31.58,8.81,Household,0.08,2,Medium (10M-50M),Hot (25°C-30°C),Low GDP per Capita,9,100.0
Honduras,2024,Latin America and the Caribbean,90,940257.0,Low Confidence,2024,48,498195.0,Very Low Confidence,2024,13,138956.0,Very Low Confidence,25.4,2024,Celsius,2024,Latin America & Caribbean,Lower Middle Income,IDA,2024,3426.43483328923,2023,95.1367503798373,2020,669000.0,2023,95.6,2024,10825703.0,151,1577408.0,59.61,31.58,8.81,Household,0.06,2,Medium (10M-50M),Hot (25°C-30°C),Low GDP per Capita,9,100.0
Jamaica,2024,Latin America and the Caribbean,86,243364.0,High Confidence,2024,48,134558.0,Very Low Confidence,2024,19,53784.0,Very Low Confidence,26.62,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,7753.8006955432,2023,262.214773776547,2020,1329699.95117188,2023,97.7,2024,2839175.0,153,431706.0,56.37,31.17,12.46,Household,0.47,3,Small (1M-10M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
Martinique,2024,Latin America and the Caribbean,95,34996.0,Very Low Confidence,2024,23,8443.0,Very Low Confidence,2024,14,5327.0,Very Low Confidence,,,,,,,,,,,,,,,,,,132,48766.0,71.76,17.31,10.92,Household,,,,,,2,99.99000000000001
Mexico,2024,Latin America and the Caribbean,105,13368447.0,Medium Confidence,2024,64,8210204.0,Medium Confidence,2024,45,5798641.0,Medium Confidence,22.23,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,14185.7812248529,2023,66.7402757272564,2020,51128000.0,2023,99.7,2024,130861007.0,214,27377292.0,48.83,29.99,21.18,Household,0.39,3,Very Large (>100M),Warm (20°C-25°C),Lower-Middle GDP per Capita,9,100.0
Montserrat,2024,Latin America and the Caribbean,95,,Very Low Confidence,2024,23,,Very Low Confidence,2024,14,,Very Low Confidence,,,,,,,,,,,,,,,,,,132,,,,,No Data,,,,,,2,
Nicaragua,2024,Latin America and the Caribbean,90,626538.0,Low Confidence,2024,48,331971.0,Very Low Confidence,2024,13,92593.0,Very Low Confidence,26.52,2024,Celsius,2024,Latin America & Caribbean,Lower Middle Income,IDA,2024,2847.53966339498,2023,56.702783779292,2020,474000.0,2023,88.3,2024,6916140.0,151,1051102.0,59.61,31.58,8.81,Household,0.07,2,Small (1M-10M),Hot (25°C-30°C),Low GDP per Capita,9,100.0
Panama,2024,Latin America and the Caribbean,101,445347.0,Medium Confidence,2024,42,187383.0,Very Low Confidence,2024,15,66407.0,Very Low Confidence,26.04,2024,Celsius,2024,Latin America & Caribbean,High Income,IBRD,2024,19161.2188501596,2023,60.1072930709086,2020,647000.0,2023,97.0,2024,4515577.0,158,699137.0,63.7,26.8,9.5,Household,0.14,4,Small (1M-10M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0
Paraguay,2024,Latin America and the Caribbean,91,619272.0,Low Confidence,2024,48,322368.0,Very Low Confidence,2024,19,128855.0,Very Low Confidence,25.07,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,6416.09708970845,2023,17.282671943072,2020,1077000.0,2023,99.8,2024,6929153.0,158,1070495.0,57.85,30.11,12.04,Household,0.16,3,Small (1M-10M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
