sector,source,year,region,m49_code,country,household_kg_per_capita_year,household_tonnes_year,confidence_in_estimate
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,232,Eritrea,92,338555,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,748,Eswatini,89,106950,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,231,Ethiopia,69,8543382,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,266,Gabon,90,215849,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,270,Gambia,92,249316,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,288,Ghana,84,2812571,High Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,324,Guinea,89,1235269,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,624,Guinea-Bissau,92,194117,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,404,Kenya,81,4351168,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,426,Lesotho,89,205878,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,430,Liberia,92,487593,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,450,Madagascar,92,2724081,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,454,Malawi,92,1877693,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,466,Mali,92,2078251,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,478,Mauritania,89,422451,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,480,Mauritius,90,117408,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,175,Mayotte,93,30536,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,508,Mozambique,92,3033197,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,516,Namibia,90,232106,Low Confidence
