DataSource,Country,Reason
GDP per Capita,Malaysia,Direct Match
GDP per Capita,Maldives,Direct Match
GDP per Capita,Mali,Direct Match
GDP per Capita,Malta,Direct Match
GDP per Capita,Marshall Islands,Direct Match
GDP per Capita,Mauritania,Direct Match
GDP per Capita,Mauritius,Direct Match
GDP per Capita,Mexico,Direct Match
GDP per Capita,Monaco,Direct Match
GDP per Capita,Mongolia,Direct Match
GDP per Capita,Montenegro,Direct Match
GDP per Capita,Morocco,Direct Match
GDP per Capita,Mozambique,Direct Match
GDP per Capita,Myanmar,Direct Match
GDP per Capita,Namibia,Direct Match
GDP per Capita,Nauru,Direct Match
GDP per Capita,Nepal,Direct Match
GDP per Capita,Netherlands,Direct Match
GDP per Capita,New Caledonia,Direct Match
GDP per Capita,New Zealand,Direct Match
GDP per Capita,Nicaragua,Direct Match
GDP per Capita,Niger,Direct Match
GDP per Capita,Nigeria,Direct Match
GDP per Capita,North Macedonia,Direct Match
GDP per Capita,Northern Mariana Islands,Direct Match
GDP per Capita,Norway,Direct Match
GDP per Capita,Oman,Direct Match
GDP per Capita,Pakistan,Direct Match
GDP per Capita,Palau,Direct Match
GDP per Capita,Panama,Direct Match
GDP per Capita,Papua New Guinea,Direct Match
GDP per Capita,Paraguay,Direct Match
GDP per Capita,Peru,Direct Match
GDP per Capita,Philippines,Direct Match
GDP per Capita,Poland,Direct Match
GDP per Capita,Portugal,Direct Match
GDP per Capita,Qatar,Direct Match
GDP per Capita,Romania,Direct Match
GDP per Capita,Russian Federation,Direct Match
GDP per Capita,Rwanda,Direct Match
GDP per Capita,Samoa,Direct Match
GDP per Capita,San Marino,Direct Match
GDP per Capita,Sao Tome and Principe,Direct Match
GDP per Capita,Saudi Arabia,Direct Match
GDP per Capita,Senegal,Direct Match
GDP per Capita,Serbia,Direct Match
GDP per Capita,Seychelles,Direct Match
GDP per Capita,Sierra Leone,Direct Match
GDP per Capita,Singapore,Direct Match
GDP per Capita,Sint Maarten (Dutch part),Direct Match
GDP per Capita,Slovenia,Direct Match
GDP per Capita,Solomon Islands,Direct Match
GDP per Capita,South Africa,Direct Match
GDP per Capita,South Sudan,Direct Match
GDP per Capita,Spain,Direct Match
GDP per Capita,Sri Lanka,Direct Match
GDP per Capita,Sudan,Direct Match
GDP per Capita,Suriname,Direct Match
GDP per Capita,Sweden,Direct Match
GDP per Capita,Switzerland,Direct Match
GDP per Capita,Syrian Arab Republic,Direct Match
GDP per Capita,Tajikistan,Direct Match
GDP per Capita,Thailand,Direct Match
GDP per Capita,Timor-Leste,Direct Match
GDP per Capita,Togo,Direct Match
GDP per Capita,Tonga,Direct Match
GDP per Capita,Trinidad and Tobago,Direct Match
GDP per Capita,Tunisia,Direct Match
GDP per Capita,Turkmenistan,Direct Match
GDP per Capita,Turks and Caicos Islands,Direct Match
GDP per Capita,Tuvalu,Direct Match
GDP per Capita,Uganda,Direct Match
GDP per Capita,Ukraine,Direct Match
GDP per Capita,United Arab Emirates,Direct Match
GDP per Capita,United Kingdom,Direct Match
GDP per Capita,Uruguay,Direct Match
GDP per Capita,Uzbekistan,Direct Match
