sector,source,year,region,m49_code,country,food_service_kg_per_capita_year,food_service_tonnes_year,confidence_in_estimate
Food Service,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,626,Timor-Leste,40,54047,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,704,Viet Nam,40,3960369,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Asia,4,Afghanistan,32,1336124,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Asia,50,Bangladesh,32,5561174,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Asia,64,Bhutan,32,25339,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Asia,356,India,32,46037319,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Asia,364,Iran (Islamic Republic of),32,2876581,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Asia,462,Maldives,34,17593,Medium Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Asia,524,Nepal,32,992429,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Asia,586,Pakistan,32,7660705,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Asia,144,Sri Lanka,32,709156,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,8,Albania,25,69686,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,20,Andorra,19,1558,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,70,Bosnia and Herzegovina,25,79256,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,191,Croatia,4,16120,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,292,Gibraltar,19,584,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,300,Greece,21,218190,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,336,Holy See,23,,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,380,Italy,19,1150162,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,470,Malta,45,23850,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,499,Montenegro,25,15459,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,807,North Macedonia,25,51283,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,620,Portugal,23,236210,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,674,San Marino,19,584,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,688,Serbia,12,83920,Medium Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,705,Slovenia,20,42400,Eurostat
